,Date_format,IsOfficialReport,Latitude,Longitude,震度,YouWin
623,2020-06-11 09:40:14,0.0,24.147,120.684,,0.0
624,2020-06-11 09:40:15,0.0,25.048,121.532,,0.0
625,2020-06-11 09:40:15,0.0,25.048,121.532,,0.0
626,2020-06-11 09:40:39,0.0,25.048,121.532,,0.0
627,2020-06-11 09:40:39,0.0,25.048,121.532,,0.0
628,2020-06-11 09:40:47,0.0,25.048,121.532,,0.0
629,2020-06-11 09:41:20,0.0,25.048,121.532,,0.0
630,2020-06-11 09:41:20,0.0,25.048,121.532,,0.0
631,2020-06-11 09:41:42,0.0,22.991,120.213,,0.0
632,2020-06-11 09:41:42,0.0,22.991,120.213,,0.0
633,2020-06-11 09:42:46,0.0,25.048,121.532,,0.0
634,2020-06-11 09:43:23,0.0,25.048,121.532,,0.0
635,2020-06-11 09:43:23,0.0,25.048,121.532,,0.0
636,2020-06-11 09:44:05,0.0,25.048,121.532,,0.0
637,2020-06-11 09:44:05,0.0,25.048,121.532,,0.0
638,2020-06-11 09:44:05,0.0,,,,0.0
639,2020-06-11 09:44:31,0.0,25.048,121.532,,0.0
640,2020-06-11 09:44:31,0.0,25.048,121.532,,0.0
641,2020-06-11 09:44:31,0.0,25.048,121.532,,0.0
654,2020-06-12 08:21:35,1.0,24.01,121.69,3.0,
655,2020-06-12 08:21:58,0.0,23.981,121.612,,1.0
656,2020-06-12 08:21:58,0.0,23.981,121.612,,1.0
657,2020-06-12 08:23:14,0.0,23.906,120.687,,0.0
658,2020-06-12 08:23:29,0.0,24.989,121.318,,0.0
663,2020-06-14 04:19:00,1.0,24.27,122.44,3.0,
664,2020-06-14 04:19:37,0.0,24.757,121.753,,1.0
665,2020-06-14 04:19:58,0.0,25.048,121.532,,0.0
666,2020-06-14 04:20:01,0.0,22.991,120.213,,0.0
667,2020-06-14 04:20:03,0.0,22.991,120.213,,0.0
668,2020-06-14 04:20:03,0.0,22.991,120.213,,0.0
669,2020-06-14 04:20:10,0.0,22.615,120.314,,0.0
670,2020-06-14 04:20:13,0.0,25.048,121.532,,0.0
671,2020-06-14 04:20:16,0.0,24.147,120.684,,0.0
672,2020-06-14 04:20:16,0.0,25.048,121.532,,1.0
673,2020-06-14 04:20:19,0.0,25.048,121.532,,0.0
674,2020-06-14 04:20:20,0.0,25.048,121.532,,0.0
675,2020-06-14 04:20:22,0.0,23.5,121.0,,0.0
676,2020-06-14 04:20:22,0.0,25.048,121.532,,0.0
677,2020-06-14 04:20:28,0.0,25.048,121.532,,0.0
678,2020-06-14 04:20:30,0.0,24.071,120.542,,0.0
679,2020-06-14 04:20:34,0.0,23.5,121.0,,0.0
680,2020-06-14 04:20:35,0.0,25.048,121.532,,0.0
681,2020-06-14 04:20:37,0.0,25.048,121.532,,0.0
682,2020-06-14 04:20:38,0.0,25.048,121.532,,0.0
683,2020-06-14 04:20:45,0.0,25.048,121.532,,0.0
